[['368', '766', '217', '494'], 52230541196]
[['368', '829', '419', '120'], 5219113993]
[['829', '766', '354', '419'], 5223413728]
[['529', '722', '145', '438'], 5206673644]
[['829', '354', '494', '937'], 5209473771]
[['368', '529', '217', '120'], 5231963715]
[['368', '684', '177', '438'], 52015841401]
[['529', '684', '494', '177'], 5208673570]
[['529', '766', '354', '120'], 52213241065]
[['829', '722', '684', '692'], 5212753714]
[['529', '829', '494', '177'], 5217983741]
[['829', '354', '684', '217'], 5218903719]
[['766', '354', '684', '937'], 5205013546]
[['368', '829', '217', '937'], 52188741082]
[['529', '217', '692', '438'], 5204323660]
[['368', '766', '692', '883'], 5213363742]
[['368', '529', '829', '217'], 5238303897]
[['529', '684', '692', '145'], 5207413513]
[['829', '722', '684', '937'], 5211043573]
[['368', '766', '722', '217'], 52308841020]
[['766', '217', '494', '692'], 5202193836]
[['529', '494', '419', '883'], 52023241242]
[['529', '766', '177', '438'], 5208433864]
[['368', '722', '937', '177'], 5211473584]
[['529', '354', '145', '438'], 5204963651]
[['829', '766', '419', '120'], 52114541153]
[['368', '829', '684', '438'], 52132041423]
[['368', '722', '354', '692'], 52200541254]
[['829', '684', '494', '419'], 5209883579]
[['368', '529', '120', '145'], 5224733769]
[['368', '419', '120', '883'], 5212343680]
[['829', '766', '217', '145'], 5214273716]
[['529', '766', '120', '177'], 5213053630]
[['368', '684', '419', '692'], 52118441214]
[['829', '354', '217', '419'], 5214503826]
[['368', '354', '937', '145'], 5208633845]
[['368', '829', '419', '883'], 5221713662]
[['766', '722', '684', '177'], 5202873505]
[['829', '722', '354', '692'], 5216463738]
[['368', '529', '692', '120'], 5224083662]
[['529', '829', '684', '419'], 5224573630]
[['529', '722', '883', '145'], 5209453510]
[['529', '419', '692', '438'], 5202773630]
[['368', '766', '217', '120'], 5224453927]
[['829', '722', '354', '937'], 5214913581]
[['368', '684', '692', '145'], 5206363706]
[['529', '722', '177', '145'], 5206993694]
[['368', '766', '692', '177'], 5209753830]
[['368', '529', '722', '217'], 52367841128]
[['368', '419', '120', '177'], 5210263615]
[['529', '829', '419', '937'], 5216793851]
[['722', '354', '684', '692'], 5203383536]
[['529', '217', '419', '438'], 5203833635]
[['766', '217', '494', '419'], 5203923727]
[['829', '354', '217', '438'], 5211543576]
[['529', '766', '684', '438'], 52074241275]
[['529', '684', '692', '937'], 5205813795]
[['368', '684', '217', '438'], 52081841427]
[['368', '722', '684', '937'], 52155141013]
[['829', '722', '684', '419'], 5213123741]
[['368', '829', '937', '438'], 5209503807]
[['368', '722', '692', '120'], 5215163627]
[['368', '529', '883', '145'], 5222323757]
[['829', '354', '684', '419'], 5216343657]
[['829', '217', '937', '438'], 5201103532]
[['529', '766', '684', '120'], 5216703809]
[['354', '684', '419', '692'], 5201193540]
[['829', '684', '494', '145'], 5203583711]
[['368', '354', '217', '145'], 52169441006]
[['829', '766', '684', '419'], 5216603624]
[['529', '419', '883', '177'], 5201393642]
[['368', '829', '419', '177'], 5218353725]
[['529', '829', '722', '692'], 5227413814]
[['829', '766', '354', '217'], 5225923795]
[['529', '354', '684', '438'], 52068541282]
[['368', '529', '829', '120'], 52330441021]
[['766', '354', '684', '177'], 5204563539]
[['766', '722', '684', '217'], 5206213917]
[['529', '354', '937', '438'], 5204653651]
[['368', '766', '217', '883'], 5224393862]
[['529', '829', '217', '692'], 5222083780]
[['829', '766', '217', '120'], 52139741160]
[['368', '684', '494', '438'], 52003741392]
[['766', '354', '684', '494'], 5208733595]
[['829', '684', '217', '438'], 52014541149]
[['829', '354', '419', '438'], 5209043538]
[['829', '217', '419', '692'], 5206473721]
[['368', '529', '217', '438'], 5224833966]
[['368', '494', '419', '145'], 52004541143]
[['529', '766', '937', '438'], 5206353867]
[['368', '217', '120', '438'], 52074641123]
[['829', '766', '419', '937'], 5214183588]
[['529', '829', '494', '419'], 5223123655]
[['529', '722', '692', '145'], 5211723527]
[['368', '766', '692', '438'], 52064141046]
[['829', '419', '120', '883'], 5201143631]
[['529', '217', '120', '438'], 5201523941]
[['368', '829', '217', '438'], 5219583841]
[['829', '722', '354', '419'], 5216033845]
[['829', '354', '217', '692'], 5214943718]
[['368', '529', '494', '145'], 5221023760]
[['368', '722', '692', '883'], 5214613611]
[['722', '354', '684', '419'], 5201973741]
[['529', '419', '692', '883'], 5205353763]
[['529', '766', '120', '937'], 5211813806]
[['829', '722', '692', '438'], 5207473544]
[['529', '684', '494', '692'], 5212223579]
[['368', '354', '145', '438'], 5208583827]
[['766', '722', '684', '494'], 5206493616]
[['529', '494', '419', '937'], 5202733980]
[['368', '829', '684', '419'], 5225763713]
[['368', '529', '722', '120'], 5237043700]
[['368', '419', '120', '937'], 5207373956]
[['368', '883', '177', '438'], 5202563784]
[['368', '883', '937', '438'], 5200143783]
[['529', '494', '120', '438'], 5200863923]
[['829', '684', '217', '692'], 5210853691]
[['368', '766', '217', '177'], 5223053723]
[['529', '419', '692', '177'], 5202313794]
[['368', '419', '692', '120'], 5207913620]
[['368', '529', '829', '692'], 52291741428]
[['529', '354', '494', '438'], 5211283668]
[['529', '766', '494', '438'], 5212783892]
[['368', '684', '419', '438'], 52050641410]
[['368', '494', '419', '120'], 5209683634]
[['368', '766', '684', '692'], 52151041519]
[['829', '354', '419', '692'], 5211873737]
[['829', '419', '883', '438'], 5201043493]
[['368', '217', '883', '438'], 5209483819]
[['829', '766', '419', '883'], 5214803747]
[['368', '829', '494', '692'], 52115841344]
[['829', '722', '883', '177'], 5206923764]
[['368', '529', '177', '145'], 5219933938]
[['529', '829', '419', '692'], 5220373805]
[['368', '722', '692', '177'], 5209793820]
[['529', '766', '494', '120'], 5217973835]
[['529', '829', '120', '438'], 5210473939]
[['529', '684', '692', '177'], 5205143810]
[['529', '722', '354', '684'], 5220683947]
[['368', '354', '692', '120'], 5213553864]
[['829', '354', '217', '937'], 5212593641]
[['368', '829', '419', '937'], 52159441018]
[['368', '529', '120', '438'], 52195541239]
[['766', '217', '494', '120'], 5202343801]
[['829', '766', '684', '217'], 5218903712]
[['829', '722', '937', '438'], 5206183531]
[['829', '217', '692', '145'], 5202333684]
[['766', '354', '684', '217'], 5210313710]
[['368', '883', '145', '438'], 5201513788]
[['829', '217', '692', '937'], 5204523587]
[['829', '722', '419', '438'], 5207953522]
[['368', '529', '722', '692'], 52311641308]
[['529', '354', '177', '438'], 5206513647]
[['829', '684', '217', '419'], 5211103730]
[['829', '354', '684', '438'], 52056941176]
[['529', '766', '692', '883'], 5212023917]
[['829', '766', '419', '177'], 5212563698]
[['368', '766', '692', '937'], 5208773980]
[['529', '684', '217', '419'], 5212663714]
[['368', '766', '217', '438'], 52182941081]
[['829', '419', '692', '883'], 5203653575]
[['368', '217', '177', '438'], 5206713819]
[['368', '829', '722', '494'], 52253141220]
[['368', '494', '419', '883'], 52046541066]
[['529', '829', '692', '438'], 5214953666]
[['368', '529', '684', '145'], 5227593765]
[['829', '354', '419', '937'], 5210473565]
[['529', '829', '883', '438'], 5213743642]
[['529', '722', '354', '937'], 5214633825]
[['368', '722', '684', '692'], 52165041226]
[['529', '766', '354', '145'], 5220923691]
[['766', '722', '684', '692'], 5202993857]
[['829', '766', '217', '937'], 5216123653]
[['368', '354', '692', '883'], 5215243624]
[['829', '722', '120', '883'], 5208573635]
[['368', '829', '217', '419'], 5224563889]
[['368', '419', '120', '438'], 52043741086]
[['368', '529', '494', '883'], 52188941316]
[['829', '684', '217', '145'], 5206643678]
[['829', '722', '494', '883'], 52080841075]
[['368', '883', '937', '177'], 5202453670]
[['529', '684', '217', '438'], 52017341261]
[['368', '419', '883', '177'], 5209233679]
[['368', '494', '419', '177'], 5206913567]
[['529', '829', '145', '438'], 5212533652]
[['368', '529', '692', '438'], 5216743934]
[['829', '354', '684', '692'], 5215213706]
[['529', '766', '722', '883'], 5222093949]
[['368', '766', '722', '354'], 52344141127]
[['529', '217', '494', '438'], 5205823657]
[['829', '419', '883', '937'], 5202303537]
[['368', '766', '684', '217'], 5226773734]
[['368', '829', '494', '419'], 5218553711]
[['529', '354', '692', '438'], 5209693670]
[['766', '354', '692', '120'], 5200343993]
[['368', '529', '937', '145'], 5215993741]
[['354', '684', '217', '883'], 5201633669]
[['529', '722', '217', '419'], 5212823901]
[['529', '766', '177', '145'], 5210343721]
[['368', '722', '692', '937'], 5208913960]
[['368', '354', '692', '177'], 5210343841]
[['529', '829', '692', '120'], 5217093914]
[['766', '354', '883', '937'], 5202803537]
[['368', '829', '354', '145'], 5223873920]
[['829', '766', '494', '419'], 5217753651]
[['529', '722', '354', '494'], 5220893620]
[['829', '354', '883', '145'], 5207293672]
[['368', '529', '883', '177'], 5223073752]
[['829', '766', '217', '883'], 5216633823]
[['368', '217', '937', '438'], 5203683814]
[['766', '722', '684', '120'], 5203763760]
[['829', '722', '692', '937'], 5209293532]
[['829', '354', '684', '937'], 5213363579]
[['368', '766', '354', '120'], 52262341151]
[['529', '829', '692', '883'], 5217263826]
[['368', '883', '177', '145'], 5202073881]
[['529', '829', '354', '438'], 5223923695]
[['829', '354', '177', '145'], 5201813849]
[['766', '354', '419', '692'], 5204573875]
[['368', '829', '494', '145'], 5213063762]
[['766', '722', '883', '937'], 5203013531]
[['368', '217', '494', '438'], 5206973809]
[['368', '722', '419', '145'], 52104941154]
[['368', '529', '829', '722'], 5243003897]
[['829', '766', '354', '145'], 5218513720]
[['529', '684', '217', '120'], 5213213575]
[['829', '722', '217', '883'], 5212173670]
[['766', '354', '883', '177'], 5201163649]
[['368', '419', '883', '937'], 5206783976]
[['529', '766', '419', '883'], 5215503931]
[['368', '529', '684', '883'], 5229893878]
[['829', '217', '419', '937'], 5204483608]
[['529', '722', '419', '120'], 5214873563]
[['368', '766', '217', '937'], 52199941081]
[['529', '354', '120', '883'], 5209703840]
[['368', '529', '217', '145'], 5225833914]
[['829', '722', '419', '692'], 5210503749]
[['529', '217', '883', '438'], 5201403632]
[['529', '766', '684', '145'], 5215283537]
[['368', '354', '684', '692'], 52193141220]
[['368', '684', '120', '883'], 5215113731]
[['829', '766', '217', '177'], 5213953818]
[['368', '829', '766', '145'], 5227003811]
[['368', '494', '419', '937'], 5203273983]
[['529', '722', '354', '438'], 5214453673]
[['529', '684', '217', '883'], 5209903835]
[['368', '883', '937', '145'], 5201543691]
[['766', '722', '883', '177'], 5201613619]
[['368', '494', '419', '438'], 5203653775]
[['829', '766', '120', '145'], 5207183569]
[['529', '722', '354', '883'], 5217113798]
[['368', '529', '829', '438'], 5229133950]
[['529', '829', '692', '145'], 5216173592]
[['829', '766', '217', '494'], 5220273659]
[['529', '722', '419', '145'], 5206763960]
[['829', '354', '120', '145'], 5202553681]
[['829', '722', '684', '883'], 5212483650]
[['368', '217', '419', '438'], 5209723814]
[['529', '766', '120', '883'], 5212233985]
[['766', '354', '494', '883'], 52020141165]
[['368', '766', '354', '883'], 5228983805]
[['368', '829', '354', '494'], 52266241188]
[['368', '419', '692', '883'], 5207493591]
[['368', '766', '494', '419'], 5219813712]
[['368', '529', '692', '145'], 5218933763]
[['529', '829', '766', '438'], 5225303912]
[['829', '354', '692', '438'], 5207643568]
[['529', '766', '937', '145'], 5208403710]
[['368', '354', '692', '937'], 5209503977]
[['368', '684', '120', '177'], 5213463623]
[['368', '722', '419', '438'], 5213473808]
[['368', '829', '120', '145'], 5213703768]
[['829', '722', '419', '937'], 5209373550]
[['529', '217', '177', '438'], 5200133635]
[['529', '354', '120', '145'], 5208123655]
[['368', '529', '883', '937'], 52184941262]
[['529', '494', '120', '883'], 52010041300]
[['829', '684', '120', '937'], 5202643535]
[['368', '120', '883', '177'], 5207603730]
[['529', '354', '684', '120'], 5216233806]
[['368', '684', '120', '937'], 5210393982]
[['368', '494', '120', '145'], 5204243704]
[['529', '494', '120', '145'], 5203573700]
[['368', '529', '722', '438'], 5229833959]
[['529', '722', '354', '177'], 5216483588]
[['529', '766', '883', '145'], 5211563530]
[['829', '766', '692', '438'], 5205883775]
[['529', '722', '354', '419'], 5218373827]
[['766', '354', '217', '883'], 5207373773]
[['529', '829', '354', '692'], 5227703799]
[['368', '766', '354', '177'], 5227833647]
[['529', '217', '419', '692'], 5208813619]
[['368', '829', '766', '494'], 52282841226]
[['829', '354', '494', '145'], 5207313865]
[['529', '684', '217', '145'], 5208293653]
[['368', '529', '829', '145'], 5230913820]
[['368', '766', '494', '145'], 5214533742]
[['368', '217', '145', '438'], 5204193816]
[['766', '722', '217', '883'], 5205483759]
[['829', '722', '883', '438'], 5208153523]
[['766', '354', '684', '692'], 5205063853]
[['529', '766', '494', '145'], 5214853733]
[['529', '829', '684', '438'], 52127041271]
[['368', '354', '217', '692'], 52188841246]
[['368', '419', '883', '438'], 5206943790]
[['829', '684', '120', '883'], 5203383682]
[['829', '766', '684', '145'], 5212333553]
[['368', '829', '883', '145'], 5216423766]
[['368', '722', '354', '419'], 5224003923]
[['368', '529', '217', '883'], 5229083932]
[['829', '354', '937', '438'], 5206083550]
[['829', '354', '217', '145'], 5209513827]
[['368', '419', '937', '177'], 5204423556]
[['368', '120', '883', '937'], 5205943948]
[['829', '766', '722', '438'], 5217043799]
[['829', '684', '419', '692'], 5207993713]
[['529', '829', '937', '438'], 5211153654]
[['368', '766', '494', '692'], 52111941510]
[['829', '684', '120', '177'], 5200983649]
[['829', '354', '692', '937'], 5209523550]
[['766', '722', '354', '419'], 5209893820]
[['529', '354', '120', '937'], 5208083781]
[['368', '684', '217', '120'], 5220393668]
[['529', '217', '692', '120'], 5209893565]
[['529', '494', '120', '937'], 5202153964]
[['368', '766', '354', '438'], 52221441098]
[['829', '766', '937', '145'], 5208113745]
[['529', '722', '354', '692'], 5219593641]
[['529', '766', '354', '883'], 5221733953]
[['368', '829', '494', '120'], 5215083974]
[['766', '354', '692', '883'], 5202713685]
[['368', '529', '722', '145'], 5232153775]
[['529', '722', '684', '419'], 5215993727]
[['529', '829', '766', '692'], 52280541119]
[['529', '766', '354', '177'], 5222343619]
[['529', '684', '217', '937'], 5207413863]
[['368', '354', '692', '438'], 5209263831]
[['368', '829', '177', '145'], 5211113935]
[['368', '217', '692', '438'], 5204933820]
[['766', '722', '494', '883'], 52018041165]
[['368', '722', '419', '120'], 5219663651]
[['368', '529', '692', '883'], 5221543845]
[['829', '722', '692', '883'], 5210933589]
[['722', '354', '217', '494'], 5202623570]
[['766', '354', '937', '177'], 5201313551]
[['829', '354', '684', '145'], 5211153678]
[['368', '120', '883', '145'], 5207153705]
[['368', '217', '120', '883'], 5214983762]
[['368', '766', '354', '494'], 52269941204]
[['368', '419', '692', '177'], 5202773790]
[['368', '684', '494', '120'], 5212653626]
[['529', '354', '494', '120'], 5214453813]
[['529', '766', '883', '177'], 5210753681]
[['766', '354', '692', '937'], 5202093526]
[['829', '766', '883', '145'], 5210713559]
[['829', '684', '494', '120'], 5206013882]
[['368', '829', '494', '883'], 52130841103]
[['529', '217', '692', '145'], 5204813659]
[['368', '766', '354', '684'], 52305841151]
[['766', '722', '684', '419'], 5205053715]
[['368', '529', '145', '438'], 5217433939]
[['829', '684', '692', '145'], 5203623530]
[['529', '829', '494', '438'], 5217573664]
[['529', '722', '684', '937'], 5211313819]
[['529', '766', '354', '684'], 52253441098]
[['829', '766', '419', '438'], 5210723764]
[['529', '722', '419', '937'], 5209593799]
[['368', '354', '120', '883'], 5217813693]
[['368', '829', '684', '145'], 5220253766]
[['829', '722', '883', '937'], 5209603548]
[['529', '684', '217', '494'], 5214283597]
[['368', '529', '829', '883'], 5233473907]
[['529', '829', '684', '692'], 5222533770]
[['368', '722', '419', '883'], 5219063640]
[['368', '722', '419', '177'], 5216943579]
[['529', '217', '692', '937'], 5204323830]
[['529', '722', '494', '419'], 5215813750]
[['529', '354', '120', '177'], 5209153622]
[['368', '766', '722', '494'], 52260141234]
[['829', '684', '419', '145'], 5201153963]
[['766', '354', '494', '937'], 5203883757]
[['829', '354', '145', '438'], 5203673543]
[['368', '684', '419', '120'], 5217353643]
[['368', '217', '120', '177'], 5212473740]
[['368', '120', '883', '438'], 52028841084]
[['829', '722', '419', '883'], 5211053603]
[['529', '684', '217', '177'], 5208773675]
[['529', '766', '684', '883'], 5214743934]
[['829', '419', '692', '120'], 5201383873]
[['529', '766', '354', '937'], 5220453860]
[['829', '684', '217', '120'], 5208563900]
[['368', '419', '177', '438'], 5204623790]
[['368', '829', '494', '177'], 5214113727]
[['529', '829', '120', '883'], 5214973880]
[['529', '722', '684', '494'], 5217453626]
[['368', '529', '766', '354'], 5246663890]
[['368', '766', '354', '937'], 52243341049]
[['766', '722', '692', '883'], 5202813675]
[['829', '766', '145', '438'], 5206373757]
[['368', '354', '120', '177'], 5215503651]
[['829', '766', '177', '145'], 5206533738]
[['368', '829', '937', '145'], 5210523753]
[['368', '529', '722', '883'], 5234463887]
[['529', '829', '692', '937'], 5215033828]
[['766', '722', '419', '883'], 5204613691]
[['829', '494', '419', '883'], 52011741056]
[['829', '766', '494', '145'], 5211723756]
[['368', '722', '684', '419'], 5221193821]
[['368', '120', '937', '177'], 5203563609]
[['368', '684', '120', '145'], 5211883711]
[['829', '766', '354', '438'], 5217093814]
[['368', '766', '494', '120'], 5217143895]
[['722', '354', '684', '120'], 5201023752]
[['529', '829', '120', '145'], 5214453589]
[['529', '217', '494', '692'], 5211293592]
[['766', '354', '217', '937'], 5206733616]
[['529', '354', '692', '120'], 5213113790]
[['766', '217', '419', '120'], 5200393791]
[['529', '829', '494', '692'], 5221333770]
[['529', '766', '883', '937'], 5209883820]
[['368', '419', '692', '937'], 5201773942]
[['829', '354', '692', '145'], 5206923688]
[['829', '419', '120', '937'], 5200163508]
[['529', '766', '354', '494'], 5227023624]
[['368', '829', '684', '494'], 52213141203]
[['368', '217', '120', '937'], 52101541024]
[['829', '217', '883', '177'], 5200593877]
[['368', '529', '354', '120'], 5235193935]
[['722', '354', '217', '692'], 5201683555]
[['829', '722', '120', '177'], 5205563663]
[['529', '684', '419', '438'], 52005441247]
[['529', '722', '419', '438'], 5209543634]
[['368', '766', '722', '120'], 5227913915]
[['766', '354', '494', '692'], 5206083849]
[['529', '722', '684', '438'], 52051941261]
[['368', '354', '684', '120'], 5222403891]
[['368', '829', '217', '145'], 5219233924]
[['766', '722', '120', '883'], 5202933738]
[['368', '529', '883', '438'], 5220103931]
[['766', '722', '419', '937'], 5203973534]
[['529', '829', '354', '120'], 52238141168]
[['529', '722', '684', '883'], 5213833788]
[['766', '354', '217', '692'], 5207403861]
[['368', '722', '419', '937'], 5213333992]
[['368', '766', '494', '883'], 52131841220]
[['829', '766', '354', '120'], 52160441381]
[['829', '766', '120', '438'], 52019941040]
[['529', '722', '419', '883'], 5211973782]
[['529', '217', '692', '883'], 5206573826]
[['766', '722', '937', '177'], 5201743527]
[['766', '722', '419', '177'], 5203723507]
[['368', '494', '120', '883'], 52035141120]
[['529', '766', '494', '883'], 52116441397]
[['529', '684', '419', '120'], 5212063557]
[['368', '120', '177', '145'], 5203003889]
[['829', '419', '692', '438'], 5200323517]
[['368', '829', '494', '937'], 52116841022]
[['529', '766', '684', '177'], 5215533582]
[['368', '529', '354', '883'], 5234883895]
[['529', '829', '722', '217'], 52283141106]
[['368', '766', '722', '883'], 5228333802]
[['829', '354', '937', '145'], 5203463860]
[['368', '217', '494', '120'], 5213073661]
[['368', '354', '120', '937'], 5212663987]
[['368', '419', '937', '438'], 5200993781]
[['829', '217', '120', '883'], 5203233708]
[['829', '722', '494', '177'], 5209333677]
[['368', '829', '766', '354'], 5239633824]
[['529', '354', '883', '145'], 5207823636]
[['368', '529', '494', '177'], 5222823650]
[['829', '684', '692', '120'], 5204493857]
[['368', '684', '692', '120'], 5211473609]
[['368', '419', '692', '438'], 5201603789]
[['368', '217', '419', '120'], 5215773671]
[['368', '120', '177', '438'], 52005241089]
[['829', '722', '217', '177'], 5208353779]
[['529', '684', '419', '883'], 5209143778]
[['829', '684', '419', '120'], 5206103882]
[['766', '722', '217', '937'], 5204873599]
[['529', '722', '684', '177'], 5213363562]
[['529', '829', '766', '120'], 52271741187]
[['529', '766', '937', '177'], 5210323588]
[['529', '766', '722', '692'], 5222913958]
[['829', '766', '684', '438'], 52057941159]
[['529', '722', '419', '177'], 5211593547]
[['368', '494', '120', '177'], 5205773621]
[['368', '766', '494', '177'], 5216653600]
[['529', '217', '692', '177'], 5202903920]
[['368', '829', '217', '494'], 52221041180]
[['368', '529', '354', '494'], 52338841195]
[['766', '722', '217', '419'], 5205733889]
[['829', '217', '494', '883'], 52033441135]
[['766', '354', '494', '177'], 5205303563]
[['529', '354', '684', '883'], 5215603798]
[['368', '684', '883', '177'], 5211803689]
[['368', '354', '217', '120'], 5221993915]
[['829', '354', '883', '177'], 5206793792]
[['368', '766', '722', '177'], 5227403622]
[['529', '829', '722', '419'], 5227943825]
[['368', '829', '354', '120'], 52249241229]
[['829', '766', '354', '684'], 52229341127]
