['278', 379810]
[['351', '454'], 4180017]
[['305', '463'], 4216614]
[['80', '358'], 44174215]
[['356', '455'], 4216117]
[['367', '234'], 4185814]
[['450', '458'], 4222015]
[['56', '290'], 42524210]
[['150', '330'], 4277916]
[['458', '107'], 4188111]
[['15', '103'], 4275317]
[['147', '390'], 4255415]
[['123', '340'], 43850215]
[['144', '108'], 4380317]
[['455', '316'], 4162812]
[['299', '304'], 43251211]
[['455', '234'], 4152415]
[['312', '498'], 42877211]
[['383', '390'], 4270016]
[['108', '390'], 4155713]
[['155', '121'], 44938215]
[['128', '267'], 43944215]
[['367', '535'], 4205310]
[['20', '236'], 44577218]
[['114', '298'], 43662215]
[['283', '400'], 4249017]
[['453', '425'], 4246217]
[['358', '141'], 42751211]
[['298', '201'], 4280718]
[['121', '5'], 43211210]
[['55', '291'], 4259916]
[['367', '400'], 4189014]
[['453', '519'], 4251817]
[['332', '131'], 42761211]
[['90', '425'], 4349513]
[['289', '455'], 4336517]
[['5', '27'], 4212514]
[['181', '304'], 4258918]
[['117', '27'], 4176511]
[['253', '115'], 42597211]
[['400', '331'], 4143511]
[['299', '27'], 4283816]
[['369', '437'], 4197815]
[['663', '27'], 4172713]
[['20', '117'], 4350516]
[['181', '27'], 4217316]
[['158', '663'], 4356219]
[['130', '425'], 4329913]
[['105', '352'], 47120212]
[['158', '181'], 44008212]
[['106', '147'], 44436218]
[['340', '376'], 4261814]
[['20', '181'], 4391519]
[['450', '663'], 4217017]
[['283', '176'], 4269917]
[['197', '148'], 46020227]
[['121', '366'], 43523210]
[['278', '425'], 4156412]
[['230', '375'], 4196717]
[['115', '458'], 4223217]
[['458', '390'], 4173212]
[['214', '149'], 4234419]
[['181', '381'], 4208415]
[['245', '141'], 4253911]
[['230', '201'], 4221414]
[['123', '419'], 4340816]
[['304', '117'], 4217915]
[['200', '103'], 42812211]
[['284', '419'], 4331915]
[['203', '419'], 4283213]
[['352', '176'], 4321713]
[['225', '375'], 4208217]
[['248', '455'], 4173216]
[['312', '304'], 42799210]
[['411', '276'], 4170216]
[['312', '200'], 43182210]
[['225', '201'], 4232716]
[['150', '176'], 4278114]
[['21', '304'], 4404518]
[['358', '301'], 4264414]
[['141', '425'], 4193612]
[['158', '117'], 4360413]
[['253', '77'], 42638211]
[['178', '369'], 43471211]
[['77', '201'], 4229618]
[['291', '463'], 4164212]
[['372', '269'], 4319317]
[['284', '340'], 43761214]
[['301', '519'], 4187416]
[['396', '425'], 4180511]
[['144', '372'], 45307223]
[['503', '330'], 4209910]
[['249', '290'], 42299210]
[['372', '351'], 4326617]
[['312', '450'], 4283018]
[['214', '331'], 4210712]
[['141', '519'], 4198915]
[['76', '181'], 44721211]
[['55', '305'], 43118213]
[['106', '458'], 4362118]
[['352', '341'], 4325516]
[['201', '276'], 4171814]
[['339', '351'], 4243114]
[['384', '381'], 4158312]
[['450', '286'], 4211716]
[['91', '278'], 4265017]
[['330', '291'], 4177211]
[['167', '108'], 4177117]
[['107', '278'], 4169213]
[['123', '284'], 44568216]
[['200', '316'], 4240213]
[['261', '108'], 4254718]
[['377', '448'], 43675211]
[['114', '261'], 43600215]
[['284', '203'], 43990215]
[['535', '390'], 4164713]
[['282', '97'], 44766210]
[['305', '265'], 4247517]
[['106', '276'], 4335314]
[['336', '403'], 4338919]
[['56', '381'], 4222812]
[['31', '341'], 4352219]
[['304', '234'], 4191615]
[['176', '291'], 4176518]
[['448', '290'], 42166210]
[['209', '274'], 4431619]
[['337', '214'], 43617213]
[['150', '266'], 4281719]
[['245', '322'], 4257016]
[['144', '75'], 4379014]
[['117', '381'], 4167511]
[['326', '284'], 45090221]
[['21', '381'], 4354015]
[['367', '286'], 4203411]
[['312', '97'], 4260618]
[['316', '331'], 4150213]
[['77', '425'], 4206013]
[['80', '261'], 44329212]
[['267', '403'], 4319619]
[['107', '276'], 4160614]
[['67', '498'], 43016211]
[['175', '367'], 42899211]
[['281', '425'], 4388617]
[['196', '425'], 4314714]
[['332', '167'], 4254218]
[['67', '437'], 4242616]
[['356', '201'], 4235513]
[['223', '366'], 43379213]
[['5', '403'], 42619211]
[['356', '103'], 4257117]
[['367', '266'], 4213618]
[['56', '304'], 42728210]
[['245', '367'], 4251616]
[['266', '455'], 4180813]
[['245', '331'], 4206014]
[['164', '27'], 4369914]
[['351', '400'], 4167915]
[['203', '330'], 4270019]
[['384', '27'], 4167213]
[['392', '390'], 4157913]
[['149', '316'], 4174316]
[['56', '27'], 4231713]
[['286', '331'], 4157611]
[['152', '366'], 44675214]
[['267', '121'], 43780216]
[['263', '142'], 42621211]
[['164', '20'], 45423225]
[['91', '425'], 4262215]
[['305', '202'], 4258116]
[['110', '253'], 43208212]
[['265', '291'], 4194818]
[['301', '392'], 4188514]
[['77', '390'], 4203816]
[['448', '503'], 4230918]
[['380', '230'], 4290117]
[['280', '448'], 4255115]
[['200', '248'], 4250914]
[['407', '341'], 4241615]
[['267', '111'], 43419212]
[['396', '107'], 4192916]
[['132', '335'], 46637227]
[['192', '267'], 43851218]
[['230', '425'], 4197413]
[['450', '248'], 4215415]
[['284', '218'], 43666212]
[['409', '121'], 43865215]
[['149', '286'], 4181417]
[['380', '225'], 43012211]
[['304', '248'], 4212515]
[['225', '425'], 4208616]
[['390', '276'], 4145913]
[['121', '358'], 43464213]
[['158', '337'], 44834215]
[['339', '269'], 4235814]
[['366', '403'], 4293319]
[['351', '75'], 4173116]
[['158', '234'], 4333816]
[['121', '269'], 4275212]
[['409', '214'], 43396214]
[['249', '330'], 4225013]
[['167', '400'], 4170712]
[['409', '111'], 43504211]
[['44', '437'], 4188516]
[['269', '75'], 4166113]
[['302', '276'], 4233814]
[['253', '356'], 4269518]
[['249', '341'], 4228618]
[['106', '280'], 44018213]
[['114', '167'], 4283216]
[['283', '245'], 43113212]
[['193', '291'], 4199917]
[['201', '463'], 4182516]
[['110', '403'], 43149211]
[['175', '403'], 4304418]
[['419', '279'], 4188113]
[['337', '286'], 4309117]
[['463', '373'], 4153816]
[['340', '279'], 4232718]
[['253', '373'], 4207115]
[['106', '381'], 4334215]
[['161', '352'], 47835218]
[['102', '278'], 4374816]
[['155', '352'], 45322215]
[['535', '27'], 4169014]
[['458', '330'], 4193610]
[['397', '455'], 4296216]
[['419', '278'], 4187114]
[['223', '261'], 43477211]
[['150', '331'], 4252216]
[['181', '202'], 4261619]
[['31', '103'], 43758210]
[['503', '454'], 4200518]
[['245', '97'], 4238115]
[['340', '278'], 4232214]
[['322', '419'], 4227716]
[['261', '535'], 4263817]
[['322', '458'], 4218912]
[['234', '381'], 4141310]
[['301', '411'], 4204615]
[['286', '384'], 4176411]
[['214', '274'], 4247117]
[['78', '245'], 43530210]
[['463', '375'], 4158215]
[['132', '274'], 45005210]
[['261', '75'], 4253415]
[['304', '448'], 4237416]
[['411', '463'], 4181314]
[['155', '284'], 45296219]
[['322', '117'], 4217019]
[['121', '274'], 42938210]
[['128', '275'], 43362213]
[['367', '149'], 4208713]
[['367', '503'], 4229911]
[['450', '266'], 4222418]
[['78', '358'], 43748214]
[['112', '282'], 48042215]
[['458', '176'], 4193313]
[['15', '245'], 42891210]
[['167', '286'], 4184614]
[['383', '305'], 43293212]
[['332', '5'], 42908211]
[['152', '425'], 4380514]
[['44', '455'], 4201015]
[['302', '27'], 4241616]
[['97', '286'], 4189514]
[['164', '106'], 45531223]
[['261', '400'], 4248016]
[['111', '274'], 4257518]
[['448', '27'], 4196012]
[['200', '286'], 4247116]
[['78', '519'], 4298618]
[['231', '128'], 44266215]
[['407', '103'], 42646212]
[['20', '448'], 4370017]
[['352', '367'], 4341219]
[['356', '107'], 4223818]
[['316', '381'], 4151113]
[['150', '322'], 43028212]
[['283', '149'], 4268716]
[['97', '266'], 4200117]
[['15', '248'], 4244416]
[['448', '381'], 4187210]
[['248', '381'], 4162210]
[['255', '21'], 45677228]
[['352', '322'], 43464211]
[['147', '330'], 4275516]
[['97', '248'], 4193015]
[['477', '396'], 4245614]
[['158', '230'], 43833210]
[['147', '176'], 4275615]
[['352', '331'], 4295716]
[['257', '225'], 43882211]
[['97', '316'], 4182116]
[['58', '121'], 44893211]
[['356', '115'], 4259419]
[['225', '107'], 4221516]
[['67', '141'], 4289819]
[['72', '225'], 43297212]
[['245', '450'], 4260317]
[['372', '312'], 43914215]
[['403', '274'], 4235314]
[['223', '519'], 4256018]
[['333', '305'], 4344119]
[['349', '261'], 43546215]
[['119', '366'], 44616214]
[['132', '269'], 4481417]
[['90', '477'], 44139213]
[['249', '103'], 4252318]
[['372', '258'], 44620221]
[['403', '269'], 4215716]
[['894', '455'], 4304418]
[['200', '245'], 42951213]
[['119', '335'], 45671223]
[['152', '269'], 4390218]
[['312', '322'], 4280113]
[['78', '269'], 4303316]
[['339', '167'], 4245218]
[['21', '279'], 4364217]
[['352', '149'], 4319819]
[['245', '167'], 4233611]
[['76', '448'], 44504211]
[['78', '425'], 4293216]
[['193', '458'], 4216613]
[['339', '369'], 4277516]
[['284', '279'], 4304618]
[['332', '437'], 4227315]
[['144', '291'], 4381318]
[['265', '201'], 4213419]
[['223', '312'], 43329213]
[['131', '384'], 4206516]
[['253', '265'], 4248018]
[['282', '223'], 45489215]
[['305', '390'], 4209116]
[['341', '117'], 4196213]
[['205', '381'], 4326217]
[['377', '407'], 43933213]
[['322', '286'], 4208613]
[['77', '330'], 4224313]
[['312', '535'], 4249217]
[['376', '149'], 4202418]
[['218', '278'], 4222217]
[['203', '367'], 4290713]
[['253', '202'], 4258419]
[['894', '299'], 44267217]
[['56', '202'], 42754212]
[['223', '369'], 4302319]
[['894', '366'], 43869212]
[['91', '340'], 43375212]
[['282', '535'], 4465417]
[['280', '142'], 4257515]
[['114', '44'], 43057210]
[['121', '411'], 4287614]
[['105', '282'], 48587236]
[['305', '351'], 4228614]
[['263', '419'], 4251115]
[['193', '276'], 4189116]
[['283', '15'], 43274212]
[['337', '283'], 43953217]
[['142', '503'], 4233318]
[['150', '97'], 4284218]
[['257', '419'], 4364016]
[['275', '265'], 4245219]
[['121', '498'], 43165210]
[['202', '201'], 4224216]
[['214', '411'], 4240317]
[['340', '448'], 4269116]
[['284', '267'], 44143215]
[['341', '663'], 4192613]
[['267', '203'], 43659210]
[['330', '276'], 4166212]
[['305', '367'], 4249515]
[['305', '331'], 4203913]
[['77', '419'], 4237111]
[['275', '403'], 4261417]
[['21', '341'], 4382618]
[['265', '375'], 4189415]
[['409', '376'], 4308316]
[['176', '276'], 4166113]
[['196', '419'], 4345317]
[['107', '463'], 4171415]
[['367', '291'], 4197014]
[['377', '131'], 43696210]
[['198', '301'], 4220719]
[['196', '340'], 43897214]
[['202', '384'], 4211417]
[['43', '352'], 44929218]
[['108', '27'], 4160212]
[['158', '108'], 4344114]
[['298', '340'], 4332519]
[['20', '108'], 4334415]
[['178', '108'], 4300015]
[['454', '27'], 4165117]
[['291', '331'], 4151016]
[['91', '419'], 4293115]
[['158', '454'], 4349118]
[['90', '121'], 44599216]
[['352', '167'], 4323016]
[['192', '275'], 43275210]
[['231', '142'], 43415211]
[['298', '419'], 4287914]
[['351', '291'], 4176014]
[['56', '131'], 4270818]
[['301', '176'], 4200116]
[['121', '275'], 4320418]
[['197', '263'], 44572211]
[['409', '322'], 4319219]
[['69', '131'], 4370719]
[['230', '419'], 4227719]
[['72', '340'], 4350518]
[['71', '132'], 48102238]
[['80', '67'], 4432519]
[['332', '269'], 4244715]
[['75', '437'], 4148515]
[['305', '149'], 4228511]
[['108', '437'], 4150115]
[['340', '230'], 42726211]
[['103', '265'], 4235617]
[['117', '330'], 4192014]
[['290', '316'], 4181018]
[['448', '419'], 4224016]
[['349', '312'], 43403212]
[['114', '67'], 4360018]
[['255', '234'], 4356617]
[['148', '352'], 45161211]
[['340', '77'], 42813210]
[['341', '458'], 4197215]
[['265', '463'], 4194917]
[['340', '225'], 4284616]
[['150', '450'], 43062212]
[['203', '283'], 43496217]
[['82', '253'], 47028212]
[['463', '390'], 4157011]
[['332', '519'], 4239918]
[['265', '411'], 4212415]
[['369', '75'], 4207815]
[['149', '291'], 4175614]
[['67', '108'], 4254612]
[['106', '463'], 4345818]
[['119', '269'], 4384516]
[['372', '67'], 44054214]
[['180', '269'], 4405118]
[['407', '214'], 42830214]
[['367', '376'], 4224115]
[['312', '330'], 4254118]
[['202', '103'], 42458210]
[['312', '263'], 4302918]
[['218', '396'], 42459210]
[['263', '458'], 4241915]
[['202', '375'], 4199816]
[['150', '167'], 4279417]
[['202', '373'], 4195813]
[['72', '419'], 4305319]
[['335', '181'], 44085213]
[['58', '198'], 44168211]
[['261', '291'], 4255818]
[['283', '458'], 4273218]
[['178', '223'], 4392919]
[['155', '90'], 45777221]
[['155', '279'], 4387213]
[['130', '231'], 44751216]
[['304', '142'], 4239816]
[['31', '358'], 44117214]
[['114', '253'], 43212213]
[['356', '193'], 4252815]
[['178', '535'], 4309114]
[['263', '248'], 4235216]
[['392', '437'], 4152414]
[['223', '67'], 43467214]
[['155', '130'], 45578224]
[['148', '203'], 44646215]
[['114', '453'], 43557215]
[['181', '54'], 4275317]
[['330', '234'], 4165615]
[['67', '535'], 4263414]
[['356', '341'], 4233516]
[['333', '455'], 4291516]
[['384', '291'], 4170311]
[['341', '234'], 4170111]
[['132', '498'], 45230212]
[['142', '381'], 4189016]
[['15', '305'], 4287217]
[['44', '75'], 4198516]
[['231', '396'], 4326219]
[['403', '498'], 4257519]
[['263', '316'], 4224416]
[['202', '448'], 4240018]
[['196', '123'], 44709211]
[['200', '291'], 4240818]
[['335', '367'], 4385717]
[['110', '330'], 4281017]
[['121', '198'], 4303916]
[['403', '198'], 4244816]
[['503', '396'], 4218313]
[['265', '107'], 4202714]
[['299', '5'], 4337918]
[['167', '291'], 4178712]
[['249', '27'], 4209213]
[['305', '167'], 4230817]
[['181', '5'], 4271517]
[['131', '27'], 4197814]
[['198', '274'], 4221716]
[['147', '367'], 4295616]
[['214', '198'], 4256916]
[['97', '291'], 4183513]
[['453', '455'], 4251317]
[['503', '201'], 4214819]
[['111', '198'], 42669211]
[['20', '407'], 4395918]
[['407', '286'], 4231012]
[['407', '245'], 4279217]
[['458', '331'], 4167514]
[['376', '274'], 4215017]
[['121', '176'], 4283016]
[['128', '280'], 4342817]
[['261', '305'], 4308715]
[['131', '448'], 4235315]
[['280', '301'], 4243815]
[['218', '230'], 4263218]
[['341', '286'], 4187213]
[['400', '437'], 4143215]
[['356', '330'], 4229812]
[['407', '304'], 4263119]
[['130', '69'], 45037224]
[['458', '149'], 4192310]
[['178', '349'], 43994217]
[['114', '141'], 4303318]
[['111', '176'], 4246219]
[['56', '142'], 42709211]
[['284', '225'], 4356318]
[['106', '202'], 4387419]
[['330', '248'], 4186416]
[['336', '181'], 43480210]
[['312', '103'], 4281819]
[['498', '519'], 4211014]
[['356', '176'], 4229416]
[['498', '269'], 4215415]
[['349', '67'], 43537217]
[['15', '291'], 4234815]
[['358', '249'], 4288519]
[['265', '390'], 4187617]
[['115', '265'], 4237919]
[['66', '455'], 4420616]
[['894', '519'], 4304918]
[['894', '269'], 4309517]
[['143', '419'], 4406519]
[['155', '396'], 4409719]
[['78', '67'], 43894213]
[['280', '396'], 4242015]
[['158', '407'], 4405518]
[['44', '400'], 4193315]
[['302', '265'], 42753210]
[['114', '375'], 4263016]
[['289', '330'], 4349618]
[['284', '91'], 44093213]
[['519', '278'], 4161616]
[['21', '400'], 4357717]
[['281', '155'], 46165228]
[['147', '167'], 4277017]
[['340', '263'], 42953214]
[['248', '278'], 4171116]
[['351', '375'], 4170017]
[['332', '75'], 4237216]
[['351', '373'], 4166014]
[['90', '267'], 44625216]
[['409', '278'], 4278716]
[['111', '455'], 4233415]
[['358', '181'], 4297414]
[['155', '91'], 44909218]
[['458', '167'], 4194319]
[['130', '267'], 44431214]
[['284', '411'], 4323319]
[['663', '519'], 4175714]
[['337', '147'], 44014211]
[['305', '369'], 42626210]
[['103', '234'], 4193613]
[['155', '298'], 44859215]
[['192', '331'], 4264616]
[['215', '367'], 44336211]
[['290', '425'], 4177213]
[['341', '463'], 4181212]
[['458', '384'], 4186116]
[['150', '276'], 4254116]
[['181', '519'], 4220812]
[['330', '463'], 4176617]
[['201', '390'], 4175414]
[['196', '231'], 44597219]
[['304', '201'], 4221416]
[['894', '322'], 4343514]
[['200', '458'], 4257613]
[['284', '275'], 4356717]
[['203', '275'], 43074211]
[['312', '400'], 4233416]
[['77', '367'], 4244116]
[['403', '455'], 4210716]
[['56', '181'], 4290419]
[['231', '425'], 4299615]
[['283', '77'], 4304515]
[['27', '375'], 4155117]
[['367', '276'], 4185817]
[['54', '291'], 4218818]
[['201', '27'], 4179517]
[['20', '366'], 44175211]
[['97', '458'], 4199912]
[['164', '396'], 4394018]
[['20', '201'], 43537210]
[['275', '376'], 4241318]
[['380', '181'], 43075210]
[['280', '425'], 4214916]
[['117', '400'], 4171015]
[['121', '280'], 43260212]
[['55', '330'], 4272816]
[['258', '305'], 4365117]
[['369', '291'], 4210317]
[['197', '400'], 4388115]
[['141', '400'], 4190814]
[['110', '181'], 4324319]
[['21', '192'], 44786214]
[['503', '425'], 4191016]
[['192', '455'], 4277215]
[['377', '425'], 4328312]
[['274', '455'], 4187913]
[['352', '407'], 43685213]
[['108', '75'], 4160214]
[['66', '261'], 45120217]
[['276', '331'], 4140413]
[['372', '121'], 44201215]
[['411', '351'], 4192918]
[['121', '455'], 4269816]
[['5', '519'], 4215317]
[['5', '269'], 4220411]
[['117', '519'], 4179512]
[['366', '384'], 4252416]
[['121', '114'], 43745211]
[['117', '269'], 4183616]
[['450', '301'], 4228917]
[['299', '269'], 4291515]
[['283', '249'], 43045212]
[['225', '367'], 4247214]
[['455', '276'], 4153012]
[['663', '269'], 4180412]
[['283', '276'], 4246117]
[['267', '396'], 4294712]
[['181', '269'], 4225312]
[['304', '396'], 4224316]
[['339', '301'], 4254019]
[['158', '201'], 4363419]
[['366', '56'], 43164211]
[['7', '330'], 4380917]
[['248', '279'], 4172313]
[['298', '375'], 4256417]
[['149', '276'], 4164615]
[['298', '373'], 4252414]
[['155', '77'], 4435419]
[['375', '390'], 4150816]
[['115', '367'], 4240412]
[['390', '373'], 4146813]
[['248', '400'], 4166110]
[['21', '286'], 4371916]
[['477', '448'], 42580211]
[['356', '322'], 4254718]
[['114', '403'], 43153212]
[['283', '356'], 4309618]
[['121', '223'], 4362118]
[['121', '304'], 4308818]
[['15', '276'], 4223717]
[['111', '278'], 4231117]
[['274', '279'], 4186218]
[['44', '291'], 4201414]
[['265', '341'], 4211818]
[['280', '107'], 4227717]
[['90', '274'], 4378815]
[['121', '535'], 4278115]
[['110', '367'], 4301414]
[['503', '107'], 4204114]
[['245', '663'], 4230017]
[['31', '203'], 44280217]
[['266', '458'], 4197413]
[['333', '381'], 4280015]
[['253', '167'], 4231219]
[['261', '375'], 4250316]
[['397', '341'], 4313219]
[['351', '107'], 4183415]
[['392', '75'], 4162315]
[['535', '75'], 4169016]
[['312', '316'], 4240415]
[['261', '103'], 4296518]
[['356', '331'], 4203914]
[['214', '316'], 4221917]
[['384', '519'], 4170511]
[['376', '176'], 4204114]
[['302', '390'], 4237216]
[['67', '305'], 4308015]
[['192', '304'], 43157212]
[['148', '77'], 4418919]
[['245', '419'], 4244215]
[['400', '234'], 4144616]
[['261', '411'], 4273118]
[['193', '265'], 4231315]
[['245', '458'], 4234619]
[['142', '131'], 4237616]
[['201', '167'], 4197115]
[['367', '269'], 4201912]
[['110', '56'], 4338419]
[['192', '200'], 43542210]
[['380', '304'], 4290416]
[['253', '27'], 4214611]
[['21', '245'], 44200212]
[['200', '77'], 4288118]
[['203', '198'], 42907211]
[['332', '403'], 42865212]
[['312', '286'], 4247318]
[['409', '77'], 43279211]
[['265', '176'], 4208015]
[['175', '312'], 43344212]
[['450', '276'], 4194914]
[['5', '448'], 4249619]
[['116', '27'], 4366617]
[['77', '167'], 4225319]
[['397', '305'], 4349017]
[['384', '276'], 4159015]
[['356', '367'], 4249615]
[['380', '27'], 4248814]
[['291', '437'], 4151611]
[['366', '230'], 4284918]
[['181', '448'], 4255015]
[['407', '131'], 4260919]
[['115', '390'], 4200112]
[['27', '425'], 4156110]
[['304', '425'], 4197712]
[['663', '286'], 4181614]
[['158', '425'], 4339715]
[['202', '330'], 4218416]
[['407', '291'], 4224615]
[['20', '425'], 4330115]
[['198', '376'], 4224915]
[['192', '450'], 4318919]
[['197', '358'], 44723213]
[['366', '302'], 43265212]
[['245', '117'], 4233716]
[['44', '341'], 4218612]
[['121', '200'], 43468211]
[['128', '381'], 4274615]
[['305', '44'], 4254014]
[['144', '106'], 45617226]
[['197', '286'], 4402116]
[['67', '291'], 4255415]
[['197', '245'], 44503211]
[['202', '176'], 4218317]
[['97', '276'], 4172316]
[['301', '381'], 4175613]
[['225', '248'], 4223617]
[['425', '381'], 4146912]
[['403', '108'], 4210114]
[['326', '198'], 44013211]
[['121', '349'], 43687215]
[['265', '330'], 4208213]
[['261', '276'], 4245314]
[['202', '142'], 4242319]
[['117', '316'], 4177915]
[['316', '400'], 4155112]
[['409', '448'], 4315519]
[['75', '400'], 4153512]
[['21', '316'], 4364815]
[['200', '111'], 43103211]
[['121', '450'], 4311619]
[['267', '225'], 43222213]
[['419', '266'], 4206217]
[['397', '263'], 43575213]
[['56', '425'], 4229411]
[['116', '158'], 45488226]
[['76', '253'], 44687213]
[['20', '269'], 4340413]
[['403', '450'], 4252618]
[['106', '366'], 44279213]
[['372', '403'], 4361619]
[['535', '234'], 4160516]
[['305', '249'], 4264218]
[['356', '149'], 4228314]
[['351', '390'], 4168912]
[['203', '249'], 43049211]
[['152', '372'], 45351221]
[['384', '269'], 4175011]
[['56', '519'], 4234516]
[['249', '291'], 4212113]
[['56', '269'], 4239115]
[['76', '201'], 4434619]
[['274', '396'], 4209714]
[['335', '106'], 45330226]
[['121', '339'], 4336919]
[['214', '450'], 42644211]
[['164', '358'], 44491211]
[['117', '286'], 4185214]
[['261', '253'], 4309315]
[['27', '373'], 4150817]
[['302', '351'], 4256318]
[['125', '245'], 44560211]
[['202', '193'], 42412211]
[['312', '245'], 4296216]
[['167', '373'], 4168712]
[['392', '279'], 4163218]
[['78', '339'], 43649214]
[['54', '373'], 4209016]
[['181', '454'], 4224813]
[['132', '223'], 45681215]
[['258', '373'], 4302715]
[['121', '15'], 43403213]
[['356', '167'], 4231115]
[['80', '305'], 43933212]
[['223', '403'], 43026212]
[['316', '234'], 4151516]
[['312', '253'], 42941211]
[['369', '201'], 4229017]
[['131', '396'], 42217210]
[['376', '331'], 4178315]
[['90', '275'], 44046211]
